6.33938,16.222,2.59742
0.713731,1.12657,-1.54636
0.72394,-0.0814044,-1.71601
0.774091,-0.731837,-1.13121
0.999777,-1.91238,-1.59397
0.908541,-3.11123,-1.67302
0.815336,-4.27636,-1.65632
-0.733786,1.52007,0.962523
-1.51809,0.266464,-0.0207425
-0.364793,0.216845,-0.0711734
0.730091,-0.127806,-0.720736
-0.24779,-3.70727,1.4168
-0.349113,-2.57757,1.86173
-0.396045,-3.23431,1.55105
-0.459742,-2.00252,1.68439
-0.729868,-0.899212,1.81028
-0.811932,0.529652,1.47308
7.041,7.04469,-1.56207
6.94277,1.08142,-1.93773
4.31963,-0.672226,-3.12207
2.48576,-0.806321,-2.93264
1.35646,-1.34836,-2.48852
0.732898,-2.33563,-1.93244
0.572018,-3.2437,-1.60383
6.10222,-0.949498,2.51156
2.97449,-0.561423,-2.9662
1.88191,-0.753599,-3.016
0.599305,-0.69248,2.83012
-0.0722624,0.178491,1.58788
1.04347,1.41977,0.232582
2.06945,1.25707,-0.608035
2.51263,0.282792,-1.50649
2.0063,-0.742805,-2.43118
1.04093,-1.30057,-2.84297
-0.151378,-1.41073,3.08114
-1.41311,-1.25638,2.85147
-2.57737,-0.893446,2.92923
-0.01313,6.18351,1.55154
1.0279,8.6166,-1.67509
0.967382,1.62096,-0.95721
1.93179,0.825912,-0.457438
0.661893,5.89674,-1.58427
0.630688,1.04168,-1.43438
0.721601,-0.0742954,-1.54095
0.718872,-1.39245,-1.62416
0.701473,-2.56065,-1.60338
0.716116,-3.82972,-1.56922
0.85622,-6.12088,1.48789
-6.80046,-4.85346,-1.60725
-6.93666,-3.74015,-1.72009
-0.972971,1.30239,0.903433
-6.92893,7.46436,-1.56463
-6.94744,5.99534,-1.59376
-1.13437,0.219938,0.0018925
0.142735,0.265583,-0.0843505
7.06403,-11.4321,-1.64861
-0.268602,-3.03975,1.57121
-0.78872,-1.83845,2.25122
-5.96702,-0.878662,-2.48165
-0.508885,-4.68066,1.4954
-0.443077,-3.12868,1.68787
-0.547246,-1.97006,1.6563
-0.70175,-0.763735,1.61132
-0.715148,0.40842,1.70819
7.01846,9.48062,-1.64377
4.12357,-0.708051,-3.13629
2.39552,-0.845445,-2.89452
1.31386,-1.50369,-2.33263
0.801645,-2.51228,-1.82055
0.616277,-3.69178,-1.63494
2.31175,-17.1411,-0.338791
